bug_id,revision.id.buggy,revision.id.fixed,report.id,report.url
1,eeee48f2a6d9884304e871e682d24c309e488731,e2c6e148a92e01b3c6037b33440ee7006f742793,checkstyle_checkstyle-10839,https://github.com/checkstyle/checkstyle/issues/10144
2,2a6a18a31978aa468db669b564929efd00c321c4,d1419f300cdb2e671b894ca16fdba5790a8e2d1e,checkstyle_checkstyle-10840,https://github.com/checkstyle/checkstyle/issues/10835
3,7a9913aa64f911e41eae958b757e73a5d2f93205,e4297c298f4fd7c8cac43009f17127763aa375c8,checkstyle_checkstyle-10958,https://github.com/checkstyle/checkstyle/issues/10817
4,f37c34ba5bde9e876d89bb15e3bf340c17f73470,e2e3a1d492db0c1addb4ef4d4724b7c0e2d897df,checkstyle_checkstyle-10963,https://github.com/checkstyle/checkstyle/issues/10962
5,988cbe38621df6cf079c975fc9ca87b45a3c4af9,c323c17910cd43a1c6309c90b4269738da10247b,checkstyle_checkstyle-10967,https://github.com/checkstyle/checkstyle/issues/10945
6,216d45526c00eaa478b415d59064894a1e1efdae,c1b172b417210a94b4b767f7f5aef1cff5f009a9,checkstyle_checkstyle-11020,https://github.com/checkstyle/checkstyle/issues/11015
7,34cd8fa5972319051cab258e7eb9055cb5c3377e,9bddea673ca6d082b8f91d47d94e7528bceba205,checkstyle_checkstyle-11085,https://github.com/checkstyle/checkstyle/issues/11031
8,f2381d045c5f4ff4b8ef1ec3bba8ada6332dfb30,466a1668f4b132a2f9029b1a035c6de304779e6b,checkstyle_checkstyle-11270,https://github.com/checkstyle/checkstyle/issues/11268
9,9c6881011d156f5bf03b15561243656095acee82,0f3620329667200f70bf7d38de2523802eada195,checkstyle_checkstyle-11383,https://github.com/checkstyle/checkstyle/issues/11213
10,cffefba904f8d47f7bf9a9d9b053f5d33ea2afff,cd28d8c7ebbe51464d96c05db33e7a1f1b3ad86a,checkstyle_checkstyle-11468,https://github.com/checkstyle/checkstyle/issues/11365
11,39686271628948d1cc0f7c894af1766e05b66a4a,2937a249221d873a8250bad2f4a597db1540b1ee,checkstyle_checkstyle-11926,https://github.com/checkstyle/checkstyle/issues/11605
12,31d820c0315aeacddb78beb84ada60e8d2dd13ac,8bf2481311820f6913d5bd2df9bfc1ee1d44436e,checkstyle_checkstyle-12372,https://github.com/checkstyle/checkstyle/issues/12345
13,f1275666a544f4d3c30f1e7b7c3ac72565278da9,7855254a0f847e53ef87ca8d9fdfcfc9fcaa8052,checkstyle_checkstyle-12444,https://github.com/checkstyle/checkstyle/issues/12443
14,fdcc63fac125d4b8caa657512b4894727b1c1a4b,5ceb64bc7b14e74d07c6a77477f690aae89d3fc8,checkstyle_checkstyle-12831,https://github.com/checkstyle/checkstyle/issues/11569
15,3b290185c1657a5d96daa0146ba9cc843fc5bb04,b6eb4a6d2a945a26552ef31e9904b360fc324bdd,checkstyle_checkstyle-14497,https://github.com/checkstyle/checkstyle/issues/14344
16,610cff300ad71632ea21fea344c3e27d12987777,4bd481d69a470c57d4f60f05134a7bc9565b0349,checkstyle_checkstyle-14978,https://github.com/checkstyle/checkstyle/issues/14688
17,a2c17a8f4ff9df426e632ee57afb8b119a46f996,bb54c67903871e0f8cce3fdde8f11ca8ce1b18a1,checkstyle_checkstyle-15092,https://github.com/checkstyle/checkstyle/issues/15012
18,b0961ea6a54e1d3b920857e708cfc1cac8c3734d,ff0e428c82d22d428ea4f6c064b63047547bc1d1,checkstyle_checkstyle-15153,https://github.com/checkstyle/checkstyle/issues/15014
19,ab017aeb1f5d8997de68d42bf226181a006e93b3,a8ddc2caafcb2ac00930f42c541fb82e1a2e0c33,checkstyle_checkstyle-15154,https://github.com/checkstyle/checkstyle/issues/15015
20,77ffdbf82734407f37313ae94df80caced47336b,085905561ce9c0c2c611c112e7373ab8a6763bc1,checkstyle_checkstyle-15175,https://github.com/checkstyle/checkstyle/issues/14970
