bug_id,revision.id.buggy,revision.id.fixed,report.id,report.url
1,1670e952ff56d706a2a721ea7fe16ce6899e99d8,188c39dccd912202a025363cbf9ba19bf2716412,OpenAPITools_openapi-generator-13996,https://github.com/OpenAPITools/openapi-generator/issues/13971
2,a94ad37738e2e87762214666df8a609c4ca47b88,626cd8c0cdd7c1f5d1b331b00852557110bd6158,OpenAPITools_openapi-generator-14433,https://github.com/OpenAPITools/openapi-generator/issues/2737
3,1b60ee1799a6831a9cd59cb833db63d4ee4eb06b,68b944e6e62fa69669e97a8c2041a7eb7ed3314a,OpenAPITools_openapi-generator-14536,https://github.com/OpenAPITools/openapi-generator/issues/14531
4,564939a4a8eb73f26a5878445c058875e2a1f2a9,f45523dd1a6c4c02d1745c13104beadfa103fa26,OpenAPITools_openapi-generator-14768,https://github.com/OpenAPITools/openapi-generator/issues/11185
5,7f480cb9360e98308a16d0adae1f8a2d8fad2ae6,1531ad48d0f5ed03036d5253e60cd5077d0d90ad,OpenAPITools_openapi-generator-16050,https://github.com/OpenAPITools/openapi-generator/issues/15476
6,7c7634dda95eeb015e3a64375abf124f9031fecd,6c35fe1035bb8930e62928de15f4a6dedc23fb98,OpenAPITools_openapi-generator-17759,https://github.com/OpenAPITools/openapi-generator/issues/17757
7,45a657f59d73e5da1d33715272f6e98fe6f7174f,b2a7f435c824ad5a36ad46420c7cd92ccf5d4240,OpenAPITools_openapi-generator-18338,https://github.com/OpenAPITools/openapi-generator/issues/17276
8,1471e7a0d065e3da419b391758f6b022b625a290,c7b33c47624230f88276399c83850b39d4eaed0a,OpenAPITools_openapi-generator-18379,https://github.com/OpenAPITools/openapi-generator/issues/18082
9,0768ddcd7c7bd8b03871486fd5f07ac0bb04d65a,e939d6d9f60c701601ad0accfa7c69b655c267d8,OpenAPITools_openapi-generator-18478,https://github.com/OpenAPITools/openapi-generator/issues/18477
10,474307675b9f1505fc7bd94eff6de63d9172cd02,d29196a1f0ad41fc17f5d4875650f87480d66a40,OpenAPITools_openapi-generator-20109,https://github.com/OpenAPITools/openapi-generator/issues/19039
11,e1549037438b698f5cf654b92f52c3b25065a63c,4b5dfc430e1ebf6fbe2f96c31fba177c122d0569,OpenAPITools_openapi-generator-20391,https://github.com/OpenAPITools/openapi-generator/issues/20390
12,3b0bb0a73ddbd1d93afc1d618b4c6c923d0a70e0,666934636d301d75981443fa530fab4ce47dc74b,OpenAPITools_openapi-generator-20887,https://github.com/OpenAPITools/openapi-generator/issues/20878
13,046be5dba1aef8e3be88970966104cd60bd41f1d,d911a71be93ae2a256533ccd5808b245258f9fa8,OpenAPITools_openapi-generator-21459,https://github.com/OpenAPITools/openapi-generator/issues/21181
14,d11d008e71e2bd58d7c0d50ce169e80f7500d3fe,03effd7d0511325a1571971bea4b86cf38a1a17f,OpenAPITools_openapi-generator-21480,https://github.com/OpenAPITools/openapi-generator/issues/15254
